season_x,round,pick,team,pfr_player_id,pfr_player_name,position,college,age,to,allpro,probowls,seasons_started,games,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs
2005,1,27,ATL,WhitRo00,Roddy White,WR,Ala-Birmingham,23,2015,1,4,10,171,842,1246,11230,66,14,8,13079,2771,574
2005,2,35,PHI,BrowRe01,Reggie Brown,WR,Georgia,24,2009,0,0,3,72,227,262,3012,18,3,0,1882,551,136
2005,2,39,CHI,BradMa00,Mark Bradley,WR,Oklahoma,23,2009,0,0,0,57,93,126,1288,9,1,1,1041,357,47
2005,2,55,BUF,ParrRo00,Roscoe Parrish,WR,Miami (FL),23,2012,0,0,0,90,134,158,1478,7,2,1,1143,455,73
2005,2,58,GNB,MurpTe00,Terrence Murphy,WR,Texas A&M,22,2005,0,0,0,3,5,5,36,0,0,0,0,0,4
2005,2,61,SDG,JackVi00,Vincent Jackson,WR,Northern Colorado,22,2016,0,3,8,155,569,950,9583,60,3,2,13996,1830,456
2005,3,68,TEN,RobyCo00,Courtney Roby,WR,Indiana,22,2014,0,0,0,92,26,28,343,1,0,0,52,10,14
2005,3,83,CIN,HenrCh00,Chris Henry,WR,West Virginia,22,2009,0,0,0,55,126,137,1945,21,2,1,1288,432,86
2005,3,96,TEN,JoneBr02,Brandon Jones,WR,Oklahoma,23,2009,0,0,2,59,115,119,1414,9,1,0,920,261,77
2005,4,114,HOU,MathJe00,Jerome Mathis,WR,Hampton,22,2007,1,1,0,17,6,6,80,1,0,0,11,4,3
2005,4,116,KAN,ThorCr00,Craphonso Thorpe,WR,Florida St.,22,2007,0,0,0,5,12,12,70,1,0,0,53,17,4
2005,4,118,NOR,,Chase Lyman,WR,California,,,0,0,0,,,,,,,,,,
2005,4,131,PIT,,Fred Gibson,WR,Georgia,,,0,0,0,,,,,,,,,,
2005,4,136,TEN,WillRo05,Roydell Williams,WR,Tulane,24,2010,0,0,1,56,92,102,1248,6,0,0,728,324,64
2005,5,140,CHI,CurrAi00,Airese Currie,WR,Clemson,22,2006,0,0,0,1,,,,,,,,,
2005,5,155,TAM,,Larry Brackins,WR,Pearl River CC,,,0,0,0,,,,,,,,,,
2005,5,174,SFO,MarsRa00,Rasheed Marshall,WR,West Virginia,24,2005,0,0,0,12,1,1,-1,0,0,0,0,0,0
2005,6,185,JAX,OwenCh00,Chad Owens,WR,Hawaii,23,2007,0,0,0,6,,,,,,,,,
2005,6,190,CIN,PerrTa00,Tab Perry,WR,UCLA,23,2007,0,0,0,20,10,10,109,1,0,0,32,56,6
2005,6,192,STL,RidgDa00,Dante Ridgeway,WR,Ball St.,21,2005,0,0,0,8,2,2,26,0,0,0,0,0,0
2005,6,195,GNB,,Craig Bragg,WR,UCLA,,,0,0,0,,,,,,,,,,
