season,round,pick,team,pfr_player_id,pfr_player_name,position,college,allpro,probowls,seasons_started,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions
2004,7,219,ATL,WilsQu00,Quincy Wilson,RB,West Virginia,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,228,TAM,CramCa00,Casey Cramer,RB,Dartmouth,0,0,0,36,0,0,0,0,0,0,0,4,4,11,1,0,0,4,7,2,0
2004,7,235,NYJ,WardDe01,Derrick Ward,RB,Ottawa (KS),0,0,0,93,565,2681,12,4,1,131,0,101,110,811,3,0,0,24,804,31,0
2004,7,242,PHI,PerrBr01,Bruce Perry,RB,Maryland,0,0,0,5,16,74,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2004,7,247,DEN,MireBr00,Brandon Miree,RB,Pittsburgh,0,0,0,10,0,0,0,0,0,0,0,9,9,57,0,0,0,32,25,3,0
2005,1,2,MIA,BrowRo05,Ronnie Brown,RB,Auburn,0,1,6,132,1303,5484,39,14,11,287,1,257,289,2036,3,1,1,202,1660,96,0
2005,1,4,CHI,BensCe00,Cedric Benson,RB,Texas,0,0,6,96,1667,6308,35,21,12,307,1,127,152,867,1,0,0,7,887,35,0
2005,1,5,TAM,WillCa02,Cadillac Williams,RB,Auburn,0,0,4,81,1071,4080,21,10,7,198,0,152,190,1014,4,3,3,226,827,43,0
2005,2,44,ARI,ArriJ.00,J.J. Arrington,RB,California,0,0,0,58,188,660,3,1,1,29,0,99,99,750,2,0,0,-33,644,36,0
2005,2,54,CAR,ShelEr00,Eric Shelton,RB,Louisville,0,0,0,9,8,23,0,0,0,1,0,1,1,6,0,0,0,4,2,1,0
2005,3,65,SFO,GoreFr00,Frank Gore,RB,Miami (FL),0,5,14,241,3884,16668,86,43,29,758,0,502,648,4152,18,4,2,483,3820,167,1
2005,3,73,HOU,MoreVe00,Vernand Morency,RB,Oklahoma St.,0,0,0,39,171,726,4,2,1,38,0,59,59,413,0,1,0,-27,353,19,0
2005,3,77,PHI,MoatRy00,Ryan Moats,RB,Louisiana Tech,0,0,0,38,204,831,8,4,2,48,0,20,22,127,1,1,0,7,115,7,0
2005,3,101,DEN,,Maurice Clarett,RB,Ohio St.,0,0,0,,,,,,,,,,,,,,,,,,
2005,4,109,DAL,BarbMa01,Marion Barber III,RB,Minnesota,0,1,3,99,,,,,,,,,,,,,,,,,
2005,4,110,NYG,JacoBr00,Brandon Jacobs,RB,Southern Illinois,0,0,3,109,1259,5557,64,19,10,313,1,90,123,788,5,1,1,-30,827,26,0
2005,4,112,MIN,FasoCi00,Ciatrick Fason,RB,Florida,0,0,0,18,50,161,5,0,0,18,0,3,3,19,0,0,0,5,14,1,0
2005,4,120,WAS,,Manuel White,RB,UCLA,0,0,0,,,,,,,,,,,,,,,,,,
2005,4,127,JAX,PearAl00,Alvin Pearman,RB,Virginia,0,0,0,38,60,246,2,1,1,10,0,36,36,276,1,2,2,24,12,14,0
2005,4,130,SDG,SproDa00,Darren Sproles,RB,Kansas St.,0,3,1,183,810,3854,27,4,3,186,2,602,802,5317,35,3,1,646,5128,233,2
